,Make,Model,Investigation_Type,Event_Date,Aircraft_damage,Amateur_Built,Number_of_Engines,Engine_Type,Purpose_of_flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured
82764,Piper,PA 18,Accident,2019-01-19,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,0.0
82765,Cessna,172,Accident,2019-01-19,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
82766,Cessna,172,Accident,2019-01-20,Substantial,No,1.0,reciprocating,Aerial Observation,0.0,1.0,0.0,0.0
82768,NAVION,NAVION,Accident,2019-01-20,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
82769,DOUGLAS,DC3C,Accident,2019-01-21,Substantial,No,2.0,turbo prop,Positioning,2.0,0.0,0.0,0.0
82770,Piper,PA31,Accident,2019-01-21,Substantial,No,2.0,reciprocating,Other Work Use,0.0,0.0,0.0,1.0
82775,Piper,PA-22-150,Accident,2019-01-22,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,0.0
82776,Bell,206,Accident,2019-01-23,Substantial,No,1.0,turbo shaft,Other Work Use,1.0,0.0,0.0,0.0
82777,Cessna,R172,Accident,2019-01-24,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
82778,ROCKWELL,112,Accident,2019-01-25,Destroyed,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
82781,Beech,B19,Accident,2019-01-26,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
82782,Beech,35,Accident,2019-01-26,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
82784,Piper,PA28,Accident,2019-01-26,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82785,Cessna,R172,Accident,2019-01-26,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82786,Piper,PA32RT,Accident,2019-01-27,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,0.0
82787,Beech,A36,Accident,2019-01-27,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,1.0,0.0
82788,Cessna,170,Accident,2019-01-27,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82789,Piper,PA22,Accident,2019-01-27,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
82790,Piper,PA 18A,Accident,2019-01-28,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82792,EUROCOPTER,AS 350,Accident,2019-01-29,Substantial,No,1.0,turbo shaft,Instructional,0.0,0.0,0.0,2.0
82793,Whittman,8-W Modified,Accident,2019-01-29,Substantial,Yes,1.0,reciprocating,Personal,0.0,0.0,1.0,0.0
82795,Piper,PA28,Accident,2019-01-29,Substantial,No,1.0,reciprocating,Personal,1.0,0.0,1.0,0.0
82796,Cessna,172,Accident,2019-01-29,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82798,Cessna,172,Accident,2019-01-29,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,4.0
82802,Beech,200,Accident,2019-01-30,Destroyed,No,1.0,turbo prop,Business,3.0,0.0,0.0,0.0
82804,MOONEY,M20K,Accident,2019-01-31,Destroyed,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
82805,Piper,PA32RT,Accident,2019-01-02,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
82807,Piper,PA 12,Accident,2019-01-02,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
82809,Cessna,150,Accident,2019-02-02,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82811,Cessna,414,Accident,2019-03-02,Destroyed,No,2.0,reciprocating,Personal,1.0,0.0,0.0,0.0
82814,Cessna,172,Accident,2019-04-02,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
82817,Cessna,172,Accident,2019-06-02,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
82818,Piper,PA46,Accident,2019-06-02,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,2.0,0.0
82821,Denney,KITFOX IV SPEEDSTER,Accident,2019-08-02,Substantial,Yes,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
82822,PIPER,PA28,Accident,2019-08-02,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82823,Mooney,M20F,Accident,2019-09-02,Destroyed,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
82825,Cessna,421,Accident,2019-10-02,Substantial,No,2.0,reciprocating,Personal,0.0,0.0,0.0,3.0
82826,Cessna,182,Accident,2019-10-02,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
82827,Cessna,172,Accident,2019-10-02,Substantial,No,1.0,reciprocating,Instructional,0.0,1.0,0.0,2.0
82830,Lancair,IV,Accident,2019-10-02,Substantial,Yes,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
82831,Beech,400,Accident,2019-11-02,Substantial,No,2.0,turbo fan,Business,0.0,0.0,0.0,3.0
82833,Piper,PA24,Accident,2019-12-02,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
82836,Cessna,172RG,Accident,2019-02-13,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82840,Piper,PA32,Accident,2019-02-14,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82841,Cessna,421,Accident,2019-02-15,Destroyed,No,2.0,reciprocating,Personal,2.0,0.0,0.0,0.0
82842,Cessna,172,Accident,2019-02-15,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
82845,Cirrus,SR22,Accident,2019-02-16,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
82851,Robinson,R22,Accident,2019-02-19,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
82852,Cirrus,SR22,Accident,2019-02-20,Substantial,No,1.0,reciprocating,Business,0.0,0.0,0.0,1.0
82853,MD HELICOPTER,369,Accident,2019-02-21,Substantial,No,1.0,turbo shaft,Positioning,0.0,0.0,1.0,0.0
82854,Beech,76,Accident,2019-02-21,Substantial,No,2.0,reciprocating,Instructional,0.0,1.0,0.0,1.0
82855,TECNAM,P92,Accident,2019-02-21,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,1.0,1.0
82856,Piper,PA22,Accident,2019-02-21,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
82859,Cessna,172,Accident,2019-02-21,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
82861,Mooney,M20J,Accident,2019-02-22,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
82862,Beech,D55,Accident,2019-02-22,Destroyed,No,2.0,reciprocating,Business,3.0,0.0,0.0,0.0
82863,Piper,PA32R,Accident,2019-02-22,Destroyed,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
82864,Beech,65,Accident,2019-02-22,Substantial,No,2.0,reciprocating,Positioning,0.0,0.0,0.0,1.0
82865,Cessna,182,Accident,2019-02-22,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82867,Cessna,172,Accident,2019-02-23,Substantial,No,1.0,reciprocating,Instructional,2.0,0.0,0.0,0.0
82869,Porterfield,CP 65,Accident,2019-02-23,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,1.0
82870,Cessna,172,Accident,2019-02-23,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,3.0
82872,Zenair,ZENITH STOL CH 701,Accident,2019-02-24,Substantial,Yes,1.0,reciprocating,Flight Test,0.0,0.0,0.0,1.0
82873,CESSNA,172,Accident,2019-02-25,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
82874,Cessna,185,Accident,2019-02-25,Substantial,No,1.0,reciprocating,Public Aircraft - Federal,0.0,0.0,0.0,1.0
82875,Piper,PA28,Accident,2019-02-26,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82879,Piper,PA46,Accident,2019-02-28,Substantial,No,1.0,turbo prop,Personal,2.0,0.0,0.0,0.0
82880,Denney,KITFOX MDL CLASSICIV,Accident,2019-02-28,Substantial,Yes,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82881,Piper,PA32,Accident,2019-02-28,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82882,SIKORSKY,HH-60L,Accident,2019-02-28,Substantial,No,2.0,turbo shaft,Ferry,0.0,0.0,2.0,0.0
82884,PIPER,PA25,Accident,2019-01-03,Destroyed,No,1.0,reciprocating,Banner Tow,1.0,0.0,0.0,0.0
82885,Cessna,172,Accident,2019-01-03,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
82887,Cessna,172,Accident,2019-02-03,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
82888,Cessna,182,Accident,2019-02-03,Destroyed,No,1.0,reciprocating,Personal,3.0,0.0,0.0,0.0
82889,Champion,8GCBC,Accident,2019-02-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82897,Piper,PA28,Accident,2019-05-03,Substantial,No,1.0,reciprocating,Instructional,1.0,0.0,0.0,0.0
82899,Cirrus,SR22,Accident,2019-05-03,Substantial,No,1.0,reciprocating,Personal,0.0,2.0,0.0,0.0
82900,Hughes,369,Accident,2019-05-03,Substantial,No,1.0,turbo shaft,External Load,1.0,0.0,0.0,0.0
82901,PIPER,PA28,Accident,2019-06-03,Substantial,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
82902,Cessna,150,Accident,2019-06-03,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,2.0
82904,Piper,PA18,Accident,2019-07-03,Substantial,No,1.0,reciprocating,Other Work Use,0.0,0.0,0.0,2.0
82905,Piper,PA22,Accident,2019-07-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
82906,Cessna,172,Accident,2019-07-03,Substantial,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
82908,Piper,PA18,Accident,2019-08-03,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
